"Date","AQS_PARAMETER_DESC","Site.Name","DAILY_AQI_VALUE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
2018-11-10,"PM2.5","Board Of Ed. Bldg.",22,"Buncombe",35.6062000008935,-82.5844
2018-11-16,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-11-22,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-11-28,"PM2.5","Board Of Ed. Bldg.",24,"Buncombe",35.6062000008935,-82.5844
2018-12-04,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-12-10,"PM2.5","Board Of Ed. Bldg.",16,"Buncombe",35.6062000008935,-82.5844
2018-12-16,"PM2.5","Board Of Ed. Bldg.",10,"Buncombe",35.6062000008935,-82.5844
2018-12-22,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-01-01,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-01-02,"PM2.5","Board Of Ed. Bldg.",25,"Buncombe",35.6062000008935,-82.5844
2018-01-03,"PM2.5","Board Of Ed. Bldg.",52,"Buncombe",35.6062000008935,-82.5844
2018-01-04,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-01-05,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-01-06,"PM2.5","Board Of Ed. Bldg.",19,"Buncombe",35.6062000008935,-82.5844
2018-01-07,"PM2.5","Board Of Ed. Bldg.",53,"Buncombe",35.6062000008935,-82.5844
2018-01-08,"PM2.5","Board Of Ed. Bldg.",44,"Buncombe",35.6062000008935,-82.5844
2018-01-09,"PM2.5","Board Of Ed. Bldg.",53,"Buncombe",35.6062000008935,-82.5844
2018-01-10,"PM2.5","Board Of Ed. Bldg.",35,"Buncombe",35.6062000008935,-82.5844
2018-01-11,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-01-12,"PM2.5","Board Of Ed. Bldg.",4,"Buncombe",35.6062000008935,-82.5844
2018-01-13,"PM2.5","Board Of Ed. Bldg.",6,"Buncombe",35.6062000008935,-82.5844
2018-01-14,"PM2.5","Board Of Ed. Bldg.",21,"Buncombe",35.6062000008935,-82.5844
2018-01-15,"PM2.5","Board Of Ed. Bldg.",41,"Buncombe",35.6062000008935,-82.5844
2018-01-16,"PM2.5","Board Of Ed. Bldg.",57,"Buncombe",35.6062000008935,-82.5844
2018-01-17,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-01-18,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-01-19,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-01-20,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-01-21,"PM2.5","Board Of Ed. Bldg.",50,"Buncombe",35.6062000008935,-82.5844
2018-01-22,"PM2.5","Board Of Ed. Bldg.",42,"Buncombe",35.6062000008935,-82.5844
2018-01-23,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-01-24,"PM2.5","Board Of Ed. Bldg.",14,"Buncombe",35.6062000008935,-82.5844
2018-01-25,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-01-26,"PM2.5","Board Of Ed. Bldg.",40,"Buncombe",35.6062000008935,-82.5844
2018-01-27,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-01-28,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-01-29,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-01-30,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-01-31,"PM2.5","Board Of Ed. Bldg.",35,"Buncombe",35.6062000008935,-82.5844
2018-02-01,"PM2.5","Board Of Ed. Bldg.",47,"Buncombe",35.6062000008935,-82.5844
2018-02-02,"PM2.5","Board Of Ed. Bldg.",9,"Buncombe",35.6062000008935,-82.5844
2018-02-03,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-02-04,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-02-05,"PM2.5","Board Of Ed. Bldg.",13,"Buncombe",35.6062000008935,-82.5844
2018-02-06,"PM2.5","Board Of Ed. Bldg.",28,"Buncombe",35.6062000008935,-82.5844
2018-02-07,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-02-08,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-02-09,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-02-10,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-02-11,"PM2.5","Board Of Ed. Bldg.",10,"Buncombe",35.6062000008935,-82.5844
2018-02-12,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-02-13,"PM2.5","Board Of Ed. Bldg.",20,"Buncombe",35.6062000008935,-82.5844
2018-02-14,"PM2.5","Board Of Ed. Bldg.",30,"Buncombe",35.6062000008935,-82.5844
2018-02-15,"PM2.5","Board Of Ed. Bldg.",18,"Buncombe",35.6062000008935,-82.5844
2018-02-16,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-02-17,"PM2.5","Board Of Ed. Bldg.",5,"Buncombe",35.6062000008935,-82.5844
2018-02-18,"PM2.5","Board Of Ed. Bldg.",3,"Buncombe",35.6062000008935,-82.5844
2018-02-19,"PM2.5","Board Of Ed. Bldg.",15,"Buncombe",35.6062000008935,-82.5844
2018-02-20,"PM2.5","Board Of Ed. Bldg.",26,"Buncombe",35.6062000008935,-82.5844
2018-02-21,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-02-22,"PM2.5","Board Of Ed. Bldg.",39,"Buncombe",35.6062000008935,-82.5844
2018-02-23,"PM2.5","Board Of Ed. Bldg.",42,"Buncombe",35.6062000008935,-82.5844
2018-02-24,"PM2.5","Board Of Ed. Bldg.",38,"Buncombe",35.6062000008935,-82.5844
2018-02-25,"PM2.5","Board Of Ed. Bldg.",23,"Buncombe",35.6062000008935,-82.5844
2018-02-26,"PM2.5","Board Of Ed. Bldg.",11,"Buncombe",35.6062000008935,-82.5844
2018-02-27,"PM2.5","Board Of Ed. Bldg.",19,"Buncombe",35.6062000008935,-82.5844
2018-02-28,"PM2.5","Board Of Ed. Bldg.",19,"Buncombe",35.6062000008935,-82.5844
2018-03-01,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
2018-03-02,"PM2.5","Board Of Ed. Bldg.",5,"Buncombe",35.6062000008935,-82.5844
2018-03-03,"PM2.5","Board Of Ed. Bldg.",12,"Buncombe",35.6062000008935,-82.5844
